Site No.,Station Type,Address,Lat,Long,Elev(m),Team,,,
D2001234,Level,Watton Park BD - Watton Park North CB (E005) M027,-31.88919,116.04902,,Conveyance,,,
D2001236,Level,Widgee Road BD - Outlet B065 (58 Ivory St),-31.87016,115.89621,,Conveyance,,,
D2001239,Level,Local Authority  - Plume Gdns CB (LA) (outlet side),-31.86019,115.94049,,Conveyance,,,
D2001247,Level,Hughes St BD - M043 (MH B024),-32.06018,115.93067,,Conveyance,,,
D2001249,Level,Fitzgerald St BD - MH X003 (Perth Arena),-31.94848,115.85084,,Conveyance,,,
D2001251,Level,Mount Lawley MD - MH A016 (23 Barlee St),-31.93688,115.87320,,Conveyance,,,
D2001255,Level,Subiaco MD - MH A043 (142 Churchill Av),-31.94791,115.83098,,Conveyance,,,
D2001259,Level,Essex St MD - MH A004 (The Esplanade Park),-32.05806,115.74605,,Conveyance,,,
D2001261,Level,Osborne Park BD - Node OSH11BLA1 (In Oswald St),-31.90007,115.80122,,Conveyance,,,
D2001263,Level,Malaga Dr BD - MH F012 (8 Meka St),-31.86415,115.90436,,Conveyance,,,
D2001265,Level,Lacey St MD - Bickley Rd CB (near outlet side),-32.02354,115.94996,,Conveyance,,,
D2001267,Level,Lefroy Rd MD  - MH X003 (15 Little Lefroy Rd),-32.06774,115.75322,,Conveyance,,,
D2001269,Level,Balgay BD - M064 (Outlet G039/Sangiorgio Ct),-31.91036,115.82190,,Conveyance,,,
D2001271,Level,Essex St MD - MH A023 (Parry St/Ellen St),-32.05204,115.75095,,Conveyance,,,
D2001273,Level,Cliff St MD - MH A005 (Cliff St/Phiillimore St),-32.05499,115.74210,,Conveyance,,,
D2001275,Level,Hyde Park BD - MH H006 (William St/Lincoln St),-31.93946,115.86453,,Conveyance,,,
D2001277,Level,Bay View Tce MD - MH A011 (Bayview Tce/Park Lane),-31.98520,115.78144,,Conveyance,,,
D2001279,Level,Bay View Tce MD - MH A019 (356 Stirling Hwy),-31.98533,115.77513,,Conveyance,,,
D2001281,Level,Hubert St BD - MH B004 (Daly St/KatoombaPl),-31.94564,115.92935,,Conveyance,,,
D2001283,Level,King William St BD - M071 (MH B013/90 King William St),-31.92360,115.91737,,Conveyance,,,
D2001285,Level,Browns Lake East BD - MH D012 (150/152 Russell St),-31.90224,115.90147,,Conveyance,,,
D2001287,Level,King William St BD - M072 (MH B016/60 King William St),-31.92226,115.91580,,Conveyance,,,
D2001289,Level,Hutton St BD - Inlet J004 (Mitchell Fwy),-31.89999,115.81851,,Conveyance,,,
D2001291,Level,Osborne Park BD - Inlet H008 ((Pearson St),-31.90907,115.79964,,Conveyance,,,
D2001293,Level,Osborne Park BD - Node OSH11B (near Oswald St),-31.90057,115.80263,,Conveyance,,,
D2001295,Level,Lacey St MD - Lacey St CB (near outlet side),-32.01558,115.95756,,Conveyance,,,
D2001297,Level,Beryl St BD - MH C013 (Beryl St/Campion Ave),-31.87747,115.82970,,Conveyance,,,
D2001299,Level,Essex St MD - MH A027 (29 Ellen St),-32.05159,115.75196,,Conveyance,,,
D2001301,Level,Hubert St BD - MH B019 (5 Fairbrother St),-31.95055,115.92990,,Conveyance,,,
D2001303,Level,Claisebrook MD - M008 (MH A055/35 Eton St) ,-31.92325,115.84846,,Conveyance,,,
D2001305,Level,Claisebrook MD - MH A019 (Stuart St/Lake St),-31.94351,115.85956,,Conveyance,,,
D2001307,Level,Subiaco MD - M007 (MH A037-Rowland St/Forrest Wlk),-31.94794,115.82320,,Conveyance,,,
D2001309,Level,Subiaco MD - MH A040 (245 Churchill Ave),-31.94794,115.82761,,Conveyance,,,
D2001311,Level,Kings Park BD - MH J005 (44 Bedford St),-31.95091,115.83138,,Conveyance,,,
D2001313,Level,Malaga Dr BD - Glyde Ct CB,-31.86536,115.90445,,Conveyance,,,
D2001315,Level,Railway Parade BD - MH B005 (Railway Pde/Almondbury Rd),-31.93592,115.87946,,Conveyance,,,
D2001317,Level,Seventh Ave BD - MH D003 (39 Seventh Ave),-31.93155,115.89339,,Conveyance,,,
D2001319,Level,Packham BD - Causeway CB (Fawcett Rd),-32.12943,115.77679,,Conveyance,,,
D2001321,Level,Packham BD - Market Garden Swamp (Troode St),-32.12008,115.77917,,Conveyance,,,
D2001323,Level,Elanora Dr BD - Cuthbertson Reserve Lake (Elanora Dr),-32.29339,115.76698,,Conveyance,,,
D2001325,Level,Rundle St MD - MH A040,-32.13780,116.01477,,Conveyance,,,
D2001327,Level,Denny Av BD - B015(adjacent to Kelmscott Baptist Church),-32.11809,116.01172,,Conveyance,,,
D2001333,Level,South St MD - A004 (South St/South Tce),-32.06368,115.75246,,Conveyance,,,
D2001336,Level,Bennett St MD - A004 (Bennett St/Terrace Rd),-31.96117,115.87054,,Conveyance,,,
D2001473,Level,Subiaco MD - X006 (Churchill Ave),-31.94789,115.82753,,Conveyance,,,
D2001855,Level,Crawley BD- C007 (Clifton St Nedlands),-31.97676,115.81171,,Conveyance,,,
